Series Name,Country,Country_Code,YR2012,YR2013,YR2014
GDP per capita (current US$),Bermuda,BMU,85458.455507886,85748.0654143782,0
GDP per capita (current US$),British Virgin Islands,VGB,0,0,0
GDP per capita (current US$),Cayman Islands,CYM,0,0,0
GDP per capita (current US$),Channel Islands,CHI,0,0,0
GDP per capita (current US$),Eritrea,ERI,0,0,0
GDP per capita (current US$),French Polynesia,PYF,0,0,0
GDP per capita (current US$),Gibraltar,GIB,0,0,0
GDP per capita (current US$),"Korea, Dem. People’s Rep.",PRK,0,0,0
GDP per capita (current US$),New Caledonia,NCL,0,0,0
GDP per capita (current US$),Sint Maarten (Dutch part),SXM,0,0,0
GDP per capita (current US$),St. Martin (French part),MAF,0,0,0
GDP per capita (current US$),Syrian Arab Republic,SYR,0,0,0
GDP per capita (current US$),Somalia,SOM,0,257.828751500965,248.844950530346
GDP per capita (current US$),Burundi,BDI,252.358979858344,256.976002796754,274.857947913846
GDP per capita (current US$),Malawi,MWI,391.561832360636,348.430269640572,371.269749625713
GDP per capita (current US$),Central African Republic,CAF,565.833058388175,382.340300200927,426.684562137769
GDP per capita (current US$),Niger,NER,390.119909653729,414.388613126623,427.737226040128
GDP per capita (current US$),Madagascar,MDG,443.904749321728,461.720920533436,452.461543061501
GDP per capita (current US$),"Congo, Dem. Rep.",COD,424.600386118337,457.96372825642,486.787081921829
GDP per capita (current US$),Ethiopia,ETH,467.077927241718,499.531572059907,566.926466461984
GDP per capita (current US$),Afghanistan,AFG,641.872033785411,637.16504385598,613.856332882312
GDP per capita (current US$),"Gambia, The",GMB,477.701260376468,696.152124772487,622.054102978064
GDP per capita (current US$),Guinea-Bissau,GNB,616.411686249548,634.48244599306,622.481716725217
GDP per capita (current US$),Togo,TGO,571.839428880573,621.222259778549,640.081611119276
GDP per capita (current US$),Mozambique,MOZ,613.984066002961,626.69775579491,645.248880313608
GDP per capita (current US$),Burkina Faso,BFA,673.821598361542,699.779405632453,703.820055595173
GDP per capita (current US$),Sierra Leone,SLE,566.378656937493,716.835304734774,714.700712388696
GDP per capita (current US$),Liberia,LBR,657.936256349955,721.930055405248,721.182794835652
GDP per capita (current US$),Rwanda,RWA,695.274082936241,704.980159418804,723.281840989822
GDP per capita (current US$),Uganda,UGA,668.832461950198,689.154814165601,739.373926961991
GDP per capita (current US$),Nepal,NPL,698.466479416086,715.923743046061,743.413381296219
GDP per capita (current US$),Guinea,GIN,717.050737885779,769.003943268519,787.238070220189
GDP per capita (current US$),Haiti,HTI,769.707383397324,812.688690037387,831.959819311853
GDP per capita (current US$),Mali,MLI,778.669462492053,805.259668494187,847.150266858533
GDP per capita (current US$),Benin,BEN,837.942920903364,915.315621163215,943.674649189169
GDP per capita (current US$),Chad,TCD,967.408125988873,979.533959184118,1018.93095594774
GDP per capita (current US$),Tanzania,TZA,867.867680563228,970.416938425046,1030.09291747653
GDP per capita (current US$),Cambodia,KHM,950.880345993697,1013.4204006154,1093.49619050796
GDP per capita (current US$),Tajikistan,TJK,969.296473144289,1048.22729256115,1104.17168941376
GDP per capita (current US$),Bangladesh,BGD,883.105000541313,981.839879150399,1118.8536634927
GDP per capita (current US$),Pakistan,PAK,1198.10900052752,1208.90431029644,1251.16410422834
GDP per capita (current US$),Myanmar,MMR,1165.79432896131,1162.33144011893,1251.82076450814
GDP per capita (current US$),South Sudan,SSD,1025.22992539902,1280.30719725591,1258.37812681629
GDP per capita (current US$),Lesotho,LSO,1329.27497081723,1245.24791858887,1279.494446004
GDP per capita (current US$),Kyrgyz Republic,KGZ,1177.97473487848,1282.43716202467,1279.76978265986
GDP per capita (current US$),Kenya,KEN,1136.87140571776,1210.38801408195,1315.80453537488
GDP per capita (current US$),Mauritania,MRT,1411.35283025415,1477.36153924563,1366.80896155962
GDP per capita (current US$),Senegal,SEN,1330.0574481376,1375.67875390488,1394.79474326494
GDP per capita (current US$),Zimbabwe,ZWE,1304.96980167411,1430.00081795572,1434.89934002278
GDP per capita (current US$),Comoros,COM,1403.42851892157,1504.92085930273,1511.81608327254
GDP per capita (current US$),Cameroon,CMR,1354.62308705136,1465.2223269067,1540.56818173347
GDP per capita (current US$),Cote d'Ivoire,CIV,1243.3445093295,1415.46927734066,1559.3866522099
GDP per capita (current US$),India,IND,1443.87952939042,1449.6059123387,1573.88149211052
GDP per capita (current US$),Djibouti,DJI,1559.24065068226,1499.76702162161,1619.05147986187
GDP per capita (current US$),Kiribati,KIR,1788.50542068887,1715.76533141614,1642.76259749601
GDP per capita (current US$),"Yemen, Rep.",YEM,1446.53628022096,1607.15227488681,1674.00276613816
GDP per capita (current US$),Zambia,ZMB,1763.09418353303,1878.90348886702,1763.05623909703
GDP per capita (current US$),Sao Tome and Principe,STP,1340.52650698418,1577.02232910998,1782.7977562404
GDP per capita (current US$),Nicaragua,NIC,1760.46056961056,1811.63803574901,1934.06401099469
GDP per capita (current US$),Ghana,GHA,1613.28683693408,2378.1595122723,1968.85826344557
GDP per capita (current US$),Solomon Islands,SLB,1913.23202227315,1977.45141074327,1996.78117583183
GDP per capita (current US$),Lao PDR,LAO,1581.39540349425,1825.66511330676,1998.33521471699
GDP per capita (current US$),Vietnam,VNM,1735.14127643805,1886.67189633671,2030.26195473318
GDP per capita (current US$),Sudan,SDN,1882.24677012331,1943.91645802007,2163.15589835214
GDP per capita (current US$),Honduras,HND,2129.52169798827,2088.09794403724,2190.65071512549
GDP per capita (current US$),Uzbekistan,UZB,1740.4682979775,1907.56170445805,2492.33664277468
GDP per capita (current US$),Moldova,MDA,2446.7253157714,2668.68303171369,2674.11633164002
GDP per capita (current US$),Bhutan,BTN,2599.39609371453,2532.0156424178,2749.35266478192
GDP per capita (current US$),Philippines,PHL,2572.62942497398,2749.38663574006,2831.31666726863
GDP per capita (current US$),Papua New Guinea,PNG,2790.69958745011,2729.87555089863,2920.77482513456
GDP per capita (current US$),"Micronesia, Fed. Sts.",FSM,3120.66962662431,2983.59798349791,2959.62064665041
GDP per capita (current US$),"Congo, Rep.",COG,3032.66732937043,3047.06458933719,2992.93134863351
GDP per capita (current US$),West Bank and Gaza,PSE,2834.02152463393,3060.3123893102,3046.82179844817
GDP per capita (current US$),Bolivia,BOL,2609.88081915425,2908.20008548078,3081.87883446506
GDP per capita (current US$),Vanuatu,VUT,3133.09020920348,3124.23307756588,3088.25830265504
GDP per capita (current US$),Ukraine,UKR,3855.4212801318,4029.71550372131,3104.65829575449
GDP per capita (current US$),Morocco,MAR,2912.65827494029,3121.68117550498,3171.69919227376
GDP per capita (current US$),Marshall Islands,MHL,3265.52003808382,3351.02743334855,3202.59710732961
GDP per capita (current US$),Nigeria,NGA,2746.99178858383,2998.07284264118,3222.69353725587
GDP per capita (current US$),"Egypt, Arab Rep.",EGY,3232.64889178794,3264.37878715277,3378.83135785555
GDP per capita (current US$),Tuvalu,TUV,3507.93691138349,3454.6849532077,3398.81894157592
GDP per capita (current US$),Timor-Leste,TLS,5879.69978194615,4888.31712299426,3441.65057088198
GDP per capita (current US$),Indonesia,IDN,3694.34894603237,3623.91158235135,3491.62479085767
GDP per capita (current US$),Cabo Verde,CPV,3467.47268444877,3615.97904131099,3588.6740539538
GDP per capita (current US$),El Salvador,SLV,3428.41038595699,3509.53149262616,3589.04060409892
GDP per capita (current US$),Guatemala,GTM,3299.66560477367,3452.92167895051,3687.83695118893
GDP per capita (current US$),Sri Lanka,LKA,3350.52187589289,3610.28936304898,3819.25352972265
GDP per capita (current US$),Armenia,ARM,3681.8574560431,3838.18580148382,3986.23162376713
GDP per capita (current US$),Eswatini,SWZ,4469.45732419562,4196.30973301426,3997.45193588557
GDP per capita (current US$),Guyana,GUY,3788.14674878178,3934.86526171904,4031.60066245674
GDP per capita (current US$),Jordan,JOR,3827.29445062868,3952.34031137257,4047.55314185272
GDP per capita (current US$),Kosovo,XKX,3600.67347519389,3876.95830210742,4054.72133937609
GDP per capita (current US$),Mongolia,MNG,4351.8869200565,4366.07590145025,4158.52571473091
GDP per capita (current US$),Samoa,WSM,4237.01462989779,4219.90973818392,4188.73367854175
GDP per capita (current US$),Tunisia,TUN,4152.67858707583,4222.70324540611,4305.47416504834
GDP per capita (current US$),Tonga,TON,4597.74230534531,4428.56648134984,4393.9408110033
GDP per capita (current US$),Georgia,GEO,4249.67016528326,4341.4351223077,4438.68749712122
GDP per capita (current US$),Albania,ALB,4247.61434236292,4413.08288688408,4578.66793446159
GDP per capita (current US$),Belize,BLZ,4626.70961538462,4652.50900308057,4790.94126203427
GDP per capita (current US$),Jamaica,JAM,5206.90672221284,4964.8327939275,4817.92592529038
GDP per capita (current US$),Bosnia and Herzegovina,BIH,4778.63608845506,5131.39450642932,5329.63504488766
GDP per capita (current US$),Angola,AGO,5100.09580809767,5254.88233799616,5408.41049555432
GDP per capita (current US$),North Macedonia,MKD,4698.14129350594,5210.67583028154,5468.48086914212
GDP per capita (current US$),Algeria,DZA,5592.22190972612,5499.58776363606,5493.05677189389
GDP per capita (current US$),Fiji,FJI,4591.55578402956,4840.69371615802,5605.5703563549
GDP per capita (current US$),"Iran, Islamic Rep.",IRN,7927.64754158673,6111.44060803083,5608.6025115113
GDP per capita (current US$),Namibia,NAM,5930.54847260768,5694.08263428425,5624.13534097711
GDP per capita (current US$),Thailand,THA,5860.58061021939,6168.26489540709,5951.88370233604
GDP per capita (current US$),Paraguay,PRY,5183.08287691315,5926.83286284344,6102.94323272326
GDP per capita (current US$),Ecuador,ECU,5682.04500655353,6056.3308269681,6377.09153014217
GDP per capita (current US$),South Africa,ZAF,7501.40727965322,6829.02046524471,6428.2935785179
GDP per capita (current US$),Libya,LBY,13025.2813934413,10363.7894894551,6466.91027014384
GDP per capita (current US$),Dominican Republic,DOM,6107.97743134333,6236.10436946074,6499.14988306617
GDP per capita (current US$),Serbia,SRB,6015.94522756969,6755.07351070594,6600.0566499116
GDP per capita (current US$),Peru,PER,6528.97221785312,6756.75276926556,6679.34194841806
GDP per capita (current US$),St. Vincent and the Grenadines,VCT,6390.31438871896,6639.62179139933,6684.8036221569
GDP per capita (current US$),Iraq,IRQ,6836.0273134631,7076.87717988865,6818.8046210291
GDP per capita (current US$),Cuba,CUB,6497.32111313561,6837.71289192677,7133.34209494342
GDP per capita (current US$),Dominica,DMA,6848.41806733105,7068.53574468351,7364.99652216048
GDP per capita (current US$),Montenegro,MNE,6586.7212793222,7186.43192406181,7378.34528902948
GDP per capita (current US$),China,CHN,6316.91886335683,7050.64591988963,7651.36604428568
GDP per capita (current US$),Lebanon,LBN,7985.85494092208,7923.851717266,7712.06284840621
GDP per capita (current US$),Botswana,BWA,7877.79035044357,7224.96517150786,7780.63838460394
GDP per capita (current US$),Bulgaria,BGR,7378.02473005713,7646.83986554542,7864.76067225524
GDP per capita (current US$),Azerbaijan,AZE,7496.29464768263,7875.75695254288,7891.31314749986
GDP per capita (current US$),Turkmenistan,TKM,6675.18565772239,7304.28713230982,7962.23909840679
GDP per capita (current US$),Colombia,COL,8042.52976902978,8212.66782924683,8114.08426438361
GDP per capita (current US$),Belarus,BLR,6940.15925359735,7978.87261471076,8318.51268992675
GDP per capita (current US$),Grenada,GRD,7444.5047675973,7789.77638079977,8369.88675513221
GDP per capita (current US$),Maldives,MDV,7265.61365556669,7928.45736514824,8499.36576172668
GDP per capita (current US$),St. Lucia,LCA,8139.89204607164,8343.79537356784,8650.81828137645
GDP per capita (current US$),Suriname,SUR,9201.00878530056,9402.23313695562,9472.00759951427
GDP per capita (current US$),Gabon,GAB,9814.03899241886,9680.82433880273,9650.57437612745
GDP per capita (current US$),Nauru,NRU,10101.9001734944,10038.9491043601,9872.0325921232
GDP per capita (current US$),Romania,ROU,8535.0468756267,9555.2442173314,10026.9735781794
GDP per capita (current US$),Mauritius,MUS,9291.22761861899,9637.00265000958,10153.9382184867
GDP per capita (current US$),Costa Rica,CRI,9913.21070795469,10490.0806476351,10547.1518483721
GDP per capita (current US$),Mexico,MEX,10241.7279153745,10725.1833166036,10922.3760488647
GDP per capita (current US$),Malaysia,MYS,10817.4428742856,10970.1232849014,11319.0797572756
GDP per capita (current US$),American Samoa,ASM,11568.7930012395,11505.3937142139,11525.1563872309
